word,sense,n_insts,acc
apple,apple_apple,398,0.989950
apple,apple_apple_inc.,634,0.990536
apple,ALL,1032,0.990310
arm,arm_arm,43,1.000000
arm,arm_arm_architecture,121,0.991736
arm,ALL,164,0.993902
bank,bank_bank_(geography),22,0.909091
bank,bank_bank,433,1.000000
bank,ALL,455,0.995604
bass,bass_bass_guitar,1005,0.791045
bass,bass_double_bass,88,0.681818
bass,bass_bass_(voice_type),298,0.899329
bass,ALL,1391,0.807333
bow,bow_bow_(ship),117,0.965812
bow,bow_bow_and_arrow,72,0.944444
bow,bow_bow_(music),26,1.000000
bow,ALL,215,0.962791
chair,chair_chair,42,0.904762
chair,chair_chairman,88,0.988636
chair,ALL,130,0.961538
crane,crane_crane_(bird),76,0.894737
crane,crane_crane_(machine),81,0.975309
crane,ALL,157,0.936306
club,club_club,108,0.805556
club,club_nightclub,73,0.780822
club,club_club_(weapon),21,0.952381
club,ALL,202,0.811881
deck,deck_deck_(building),7,0.857143
deck,deck_deck_(ship),92,0.902174
deck,ALL,99,0.898990
digit,digit_numerical_digit,33,1.000000
digit,digit_digit_(anatomy),9,1.000000
digit,ALL,42,1.000000
hood,hood_hood_(comics),47,1.000000
hood,hood_hood_(headgear),22,0.954545
hood,hood_hood_(vehicle),13,1.000000
hood,ALL,82,0.987805
java,java_java,1180,0.994915
java,java_java_(programming_language),749,0.998665
java,ALL,1929,0.996371
mole,mole_mole_(animal),77,0.948052
mole,mole_mole_(unit),42,1.000000
mole,mole_mole_(espionage),44,0.977273
mole,mole_mole_sauce,23,0.956522
mole,mole_mole_(architecture),20,1.000000
mole,ALL,206,0.970874
pitcher,pitcher_pitcher,2806,0.998931
pitcher,pitcher_pitcher_(container),13,1.000000
pitcher,ALL,2819,0.998936
pound,pound_pound_(currency),10,1.000000
pound,pound_pound_(mass),87,0.850575
pound,ALL,97,0.865979
seal,seal_seal_(musician),106,1.000000
seal,seal_pinniped,131,0.954198
seal,seal_seal_(emblem),114,0.938596
seal,seal_seal_(mechanical),12,1.000000
seal,ALL,363,0.964187
spring,spring_spring_(season),148,0.979730
spring,spring_spring_(device),73,0.972603
spring,spring_spring_(hydrology),236,0.970339
spring,ALL,457,0.973742
square,square_square_(company),62,1.000000
square,square_square,103,0.932039
square,square_square_number,13,0.769231
square,square_town_square,29,1.000000
square,ALL,207,0.951691
trunk,trunk_trunk_(anatomy),14,1.000000
trunk,trunk_trunk_(botany),47,0.936170
trunk,trunk_trunk_(automobile),16,1.000000
trunk,ALL,77,0.961039
yard,yard_yard,61,0.721311
yard,yard_yard_(sailing),11,1.000000
yard,ALL,72,0.763889
